name,precision,recall,f1
Amphibian,0.7973509933774835,0.5185185185185185,0.6283924843423799
ArtificialSatellite,0.8823529411764706,0.20833333333333334,0.3370786516853933
Artwork,0.9345794392523364,0.8163265306122449,0.8714596949891067
Award,0.9130434782608695,0.3828125,0.5394495412844037
BasketballTeam,0.8785046728971962,0.5662650602409639,0.6886446886446886
Case,0.9783783783783784,0.9526315789473684,0.9653333333333334
ChristianBishop,0.9504950495049505,0.7773279352226721,0.8552338530066815
ClericalAdministrativeRegion,0.9125,0.7684210526315789,0.8342857142857143
Country,0.9036144578313253,0.5154639175257731,0.6564551422319475
Device,0.9060773480662984,0.49848024316109424,0.6431372549019608
Drug,0.7575757575757576,0.3184713375796178,0.4484304932735426
Election,0.9665924276169265,0.5969738651994498,0.7380952380952381
Enzyme,0.8378378378378378,0.6458333333333334,0.7294117647058824
EthnicGroup,0.9315642458100558,0.7050739957716702,0.8026474127557159
FootballLeagueSeason,0.8571428571428571,0.4928571428571429,0.6258503401360545
FootballMatch,1.0,0.6792452830188679,0.8089887640449438
Galaxy,0.8333333333333334,0.29411764705882354,0.4347826086956522
GivenName,0.9647887323943662,0.8896103896103896,0.9256756756756757
GovernmentAgency,0.9195710455764075,0.6007005253940455,0.7266949152542374
HistoricBuilding,0.9560975609756097,0.765625,0.8503253796095444
Hospital,0.8679245283018868,0.5369649805447471,0.6634615384615384
Legislature,0.9488636363636364,0.7731481481481481,0.8520408163265305
Magazine,0.9301310043668122,0.7773722627737226,0.8469184890656064
MemberOfParliament,0.956268221574344,0.6520874751491054,0.7754137115839244
Monarch,0.8958333333333334,0.5330578512396694,0.6683937823834197
MotorsportSeason,0.9627507163323782,0.865979381443299,0.9118046132971507
Museum,0.9230769230769231,0.5508196721311476,0.6899383983572897
NationalFootballLeagueSeason,1.0,0.5,0.6666666666666666
NaturalEvent,0.7631578947368421,0.5686274509803921,0.651685393258427
NCAATeamSeason,1.0,0.4117647058823529,0.5833333333333334
Noble,0.9266666666666666,0.38186813186813184,0.5408560311284045
PoliticalParty,0.8531073446327684,0.30505050505050507,0.4494047619047619
Race,0.7236842105263158,0.3142857142857143,0.4382470119521913
RailwayLine,0.8757763975155279,0.47315436241610737,0.6143790849673203
Reptile,0.77,0.9590747330960854,0.8541996830427893
RugbyLeague,0.8620689655172413,0.43103448275862066,0.5747126436781608
ShoppingMall,0.8291139240506329,0.8238993710691824,0.8264984227129338
SoccerClubSeason,1.0,0.5882352941176471,0.7407407407407407
SoccerLeague,0.7981651376146789,0.36554621848739494,0.5014409221902018
SoccerTournament,0.947136563876652,0.7413793103448276,0.8317214700193425
Song,0.9678217821782178,0.8886363636363637,0.9265402843601895
SportFacility,0.8627450980392157,0.39285714285714285,0.5398773006134969
SportsLeague,0.7636363636363637,0.3492723492723493,0.4793152639087019
Stadium,0.850909090909091,0.3780290791599354,0.5234899328859061
TelevisionStation,0.7924528301886793,0.18229166666666666,0.2964008468595625
TennisTournament,0.9411764705882353,0.5925925925925926,0.7272727272727272
Tournament,0.889261744966443,0.5773420479302832,0.7001321003963012
UnitOfWork,0.9783783783783784,0.9526315789473684,0.9653333333333334
Venue,0.9188034188034188,0.5598958333333334,0.6957928802588997
Wrestler,0.8345323741007195,0.25,0.384742951907131
